Industry,Company
Oil Gas & Coal Equipment & Services,Adaro Energy Indonesia Tbk
Oil Gas & Coal Equipment & Services,Apexindo Pratama Duta Tbk
Oil Gas & Coal Equipment & Services,Atlas Resources Tbk
Oil Gas & Coal Equipment & Services,Ratu Prabu Energi Tbk
Oil Gas & Coal Equipment & Services,Astrindo Nusantara Infrastruktur Tbk
Oil Gas & Coal Equipment & Services,Borneo Olah Sarana Sukses Tbk
Oil Gas & Coal Equipment & Services,Baramulti Suksessarana Tbk
Oil Gas & Coal Equipment & Services,Bumi Resources Tbk
Oil Gas & Coal Equipment & Services,Bayan Resources Tbk
Oil Gas & Coal Equipment & Services,Darma Henwa Tbk
Oil Gas & Coal Equipment & Services,Delta Dunia Makmur Tbk
Oil Gas & Coal Equipment & Services,Dian Swastatika Sentosa Tbk
Oil Gas & Coal Equipment & Services,Elnusa Tbk
Oil Gas & Coal Equipment & Services,Energi Mega Persada Tbk
Oil Gas & Coal Equipment & Services,Alfa Energi Investama Tbk
Oil Gas & Coal Equipment & Services,Golden Energy Mines Tbk
Oil Gas & Coal Equipment & Services,Garda Tujuh Buana Tbk
Oil Gas & Coal Equipment & Services,Harum Energy Tbk
Oil Gas & Coal Equipment & Services,Indika Energy Tbk
Oil Gas & Coal Equipment & Services,Indo Tambangraya Megah Tbk
Oil Gas & Coal Equipment & Services,Resource Alam Indonesia Tbk
Oil Gas & Coal Equipment & Services,Mitrabara Adiperdana Tbk
Oil Gas & Coal Equipment & Services,Medco Energi Internasional Tbk
Oil Gas & Coal Equipment & Services,Mitra Investindo Tbk
Oil Gas & Coal Equipment & Services,Capitalinc Investment Tbk
Oil Gas & Coal Equipment & Services,Samindo Resources Tbk
Oil Gas & Coal Equipment & Services,Perdana Karya Perkasa Tbk
Oil Gas & Coal Equipment & Services,Bukit Asam Tbk
Oil Gas & Coal Equipment & Services,Petrosea Tbk
Oil Gas & Coal Equipment & Services,Radiant Utama Interinsco Tbk
Oil Gas & Coal Equipment & Services,Golden Eagle Energy Tbk
Oil Gas & Coal Equipment & Services,SMR Utama Tbk
Oil Gas & Coal Equipment & Services,Super Energy Tbk
Oil Gas & Coal Equipment & Services,TBS Energi Utama Tbk
Oil Gas & Coal Equipment & Services,Trada Alam Minera Tbk
Oil Gas & Coal Equipment & Services,PT Ginting Jaya Energi Tbk
